topology,nodes,edges,k_avg,k_min,k_max,k_variance,d,d_norm,aspl,acc,assort,core_max,ktruss_max,peak_day,Y_peak_day,peak_cases,fraction_peak_cases,span,Y_span,time_network,time_epidemic
R,184949,3329082,36,9,69,35.8695,0.0002,0.25277224,3.516373947,0.0002,0.0008,26,3,23,0.063,100936,0.5458,166,0.4548,43.8708,604.8589
R,184920,3421020,37,12,71,37.0782,0.0002,0.255171868,3.493597895,0.0002,0.0006,27,3,22,0.0603,101141,0.5469,165,0.4521,45.8773,618.9466
R,184920,832140,9,0,27,9.0115,0,0.131538175,5.500652368,0,0.0005,6,3,49,0.1342,81759,0.4421,187,0.5123,8.8641,277.9597
R,184920,1941660,21,4,46,21.1245,0.0001,0.205638095,4.056465555,0.0001,-0.0006,14,3,29,0.0795,97752,0.5286,171,0.4685,22.7018,418.9386
R,184920,739680,8,0,23,7.99,0,0.121237532,5.800925961,0,0.0002,5,3,50,0.137,79309,0.4289,193,0.5288,7.9308,269.8076
R,184920,1017060,11,0,28,10.942,0.0001,0.149087709,5.059924249,0.0001,0.001,7,3,42,0.1151,85703,0.4635,187,0.5123,11.2306,312.733
R,184920,554760,6,0,19,5.9941,0,0.096078471,6.705432951,0,-0.0005,4,3,63,0.1726,70908,0.3835,204,0.5589,6.8429,244.4318
R,184920,3236100,35,12,63,34.8165,0.0002,0.25031204,3.540128542,0.0002,-0.0006,25,3,23,0.063,100728,0.5447,163,0.4466,41.8939,587.7708
R,184920,2496420,27,8,54,27.0173,0.0001,0.227616646,3.780474198,0.0001,0.0008,19,3,26,0.0712,99317,0.5371,168,0.4603,30.6214,497.6384
R,184920,2588880,28,7,54,28.0251,0.0002,0.230797156,3.744304617,0.0002,0.0001,20,3,25,0.0685,99627,0.5388,169,0.463,31.9008,518.7526
R,184920,1109520,12,1,32,11.9331,0.0001,0.156697236,4.892137325,0.0001,-0.0015,8,3,40,0.1096,90706,0.4905,180,0.4932,11.7241,323.5658
R,184920,1571820,17,3,40,17.0464,0.0001,0.187158187,4.330167296,0.0001,0,12,3,32,0.0877,95259,0.5151,172,0.4712,18.3599,374.2453
R,184920,2773800,30,8,54,30.0359,0.0002,0.236830886,3.678021313,0.0002,-0.0005,21,3,25,0.0685,100013,0.5408,170,0.4658,34.8076,529.0825
R,184920,2403960,26,6,51,26.051,0.0001,0.224316089,3.818948043,0.0001,-0.0004,18,3,26,0.0712,99365,0.5373,171,0.4685,29.311,489.5234
R,184920,3605940,39,15,72,39.1869,0.0002,0.259775793,3.450954476,0.0002,0.0003,29,3,22,0.0603,101289,0.5477,170,0.4658,47.5578,636.3081
R,184920,2219040,24,6,52,23.9885,0.0001,0.217316002,3.903871543,0.0001,0.0001,17,3,27,0.074,98885,0.5347,172,0.4712,28.1358,470.8973
